"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"A001_01";"A003";"A003_01";"A003_02";"B001";"B002";"B003";"B004";"B005";"C001";"C002";"C003";"C004";"C004_01";"C004_02";"C004_03";"C004_04";"TIME001";"TIME002";"TIME003";"TIME004";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
"Interview-Nummer (fortlaufend)";"Personenkennung oder Teilnahmecode (sofern verwendet)";"Referenz (sofern im Link angegeben)";"Fragebogen, der im Interview verwendet wurde";"Interview-Modus";"Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin)";"identifier: [01]";"consent: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen";"consent: participate in the survey";"consent: storing and processing of the voice, survey and interview data for this study";"interesting";"clear";"repeat";"satisfaction";"understanding";"mode";"humanlike";"input";"voice: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen";"voice: Did not try";"voice: Tried. Voice input did not work at all";"voice: Tried. Voice transcription was poor";"voice: Tried. Voice transcription was good";"Verweildauer Seite 1";"Verweildauer Seite 2";"Verweildauer Seite 3";"Verweildauer Seite 4";"Verweildauer gesamt (ohne Ausreißer)";"Versandzeitpunkt der Einladungsmail (nur für nicht-anonyme Adressaten)";"Zeitpunkt als der Datensatz das letzte mal geändert wurde";"Wurde die Befragung abgeschlossen (letzte Seite erreicht)?";"Hat der Teilnehmer den Fragebogen nur angesehen, ohne die Pflichtfragen zu beantworten?";"Seite, die der Teilnehmer zuletzt bearbeitet hat";"Letzte Seite, die im Fragebogen bearbeitet wurde";"Anteil fehlender Antworten in Prozent";"Anteil fehlender Antworten (gewichtet nach Relevanz)";"Ausfüll-Geschwindigkeit (relativ)"
20;;;"base";"interview";2024-03-28 15:22:05;"7";2;2;2;2;1;2;3;4;1;;;;;;;;13;6;54;;73;;2024-03-28 15:23:18;1;0;3;3;0;0;0,93
21;;;"base";"interview";2024-03-28 15:22:06;"4";1;2;1;4;2;4;5;5;2;4;1;1;2;1;1;1;30;3;34;19;86;;2024-03-28 15:23:32;1;0;4;4;0;0;1,23
22;;;"base";"interview";2024-03-28 15:22:05;"2";1;2;1;3;2;4;4;5;2;2;2;1;1;1;1;2;6;6;31;24;67;;2024-03-28 15:23:13;1;0;4;4;0;0;1,52
23;;;"base";"interview";2024-03-28 15:22:10;"1";2;2;2;5;2;5;4;4;2;2;1;1;2;1;1;1;22;5;42;39;108;;2024-03-28 15:23:58;1;0;4;4;0;0;0,94
27;;;"base";"interview";2024-03-28 15:22:31;"3";2;2;2;4;2;3;4;4;2;2;2;1;1;1;2;1;10;7;29;25;71;;2024-03-28 15:23:42;1;0;4;4;0;0;1,21
34;;;"base";"interview";2024-03-28 15:44:37;"1";2;2;2;3;1;2;4;4;1;;;;;;;;13;7;38;;58;;2024-03-28 15:45:35;1;0;3;3;0;0;1
35;;;"base";"interview";2024-03-28 15:45:50;"2";2;2;2;2;2;4;5;5;1;;;;;;;;18;16;44;;68;;2024-03-28 15:47:08;1;0;3;3;0;0;0,69
37;;;"base";"interview";2024-03-28 15:53:40;"9";2;2;2;;;;;;;;;;;;;;17;4;;;21;;2024-03-28 15:54:01;0;0;2;2;0;0;1,13
39;;;"base";"interview";2024-03-28 15:54:52;"9";2;2;2;3;2;3;4;4;2;4;1;1;1;2;1;1;4;3;27;15;49;;2024-03-28 15:55:41;1;0;4;4;0;0;2,2
43;;;"base";"interview";2024-03-28 15:55:51;"5";2;2;2;5;1;4;3;5;2;4;1;1;1;2;1;1;13;4;53;21;91;;2024-03-28 15:57:22;1;0;4;4;0;0;1,1
45;;;"base";"interview";2024-03-28 15:56:09;"7";2;2;2;3;2;3;3;3;2;2;2;1;1;1;2;1;13;14;72;23;114;;2024-03-28 15:58:11;1;0;4;4;0;0;0,68
47;;;"base";"interview";2024-03-28 15:56:24;"9";1;2;1;3;2;2;3;3;1;;;;;;;;25;11;46;;82;;2024-03-28 15:57:46;1;0;3;3;0;0;0,67
48;;;"base";"interview";2024-03-28 15:56:32;;1;2;1;;;;;;;;;;;;;;30;;;;30;;2024-03-28 15:57:02;0;0;1;1;0;0;0,43
49;;;"base";"interview";2024-03-28 15:59:26;"8";2;2;2;4;2;3;3;4;2;3;1;1;1;1;2;1;9;6;52;21;88;;2024-03-28 16:00:54;1;0;4;4;0;0;1,09
